"p.products_id";"products_quantity";"products_model";"products_price";"products_status";"products_ordered";"products_name";"products_description";"products_viewed";"m.manufacturers_name as marque";"p.gender as Gender";"p.gamme";"p.item_size";"p.type as Type";"products_image";"pd.products_id";"EAN";"frais_port"
"349993";"32";"187710";"32.63";"1";"0";"GIORGIO SUNSHINE de Giorgio Beverly Hills 187710";"Eau de Toilette Vaporisateur 50 ml";"0";"Giorgio Beverly Hills";"Femmes";"GIORGIO SUNSHINE";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/187710.jpg";"http://www.parfumreduc.com/product_info.php?products_id=349993";"187710";"14"
"3499931";"32";"1877101";"32.63";"1";"0";"GIORGIO SUNSHINE de Giorgio Beverly Hills 1877101";"Eau de Toilette spray 50 ml";"0";"Giorgio Beverly Hills";"Femmes";"GIORGIO SUNSHINE";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/187710.jpg";"http://www.parfumreduc.com/product_info.php?products_id=349993";"1877101";"14"
"349995";"47";"119425";"42.06";"1";"3";"GIORGIO de Giorgio Beverly Hills 119425";"Eau de Toilette Vaporisateur 90 ml";"3";"Giorgio Beverly Hills";"Femmes";"GIORGIO";"90 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/119425.jpg";"http://www.parfumreduc.com/product_info.php?products_id=349995";"119425";"14"
"3499951";"47";"1194251";"42.06";"1";"3";"GIORGIO de Giorgio Beverly Hills 1194251";"Eau de Toilette spray 90 ml";"3";"Giorgio Beverly Hills";"Femmes";"GIORGIO";"90 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/119425.jpg";"http://www.parfumreduc.com/product_info.php?products_id=349995";"1194251";"14"
"349992";"13";"122992";"53.1";"1";"0";"GIORGIO HOLIDAY de Giorgio Beverly Hills 122992";"Eau de Toilette Vaporisateur 50 ml";"0";"Giorgio Beverly Hills";"Femmes";"GIORGIO HOLIDAY";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/122992.jpg";"http://www.parfumreduc.com/product_info.php?products_id=349992";"122992";"14"
"3499921";"13";"1229921";"53.1";"1";"0";"GIORGIO HOLIDAY de Giorgio Beverly Hills 1229921";"Eau de Toilette spray 50 ml";"0";"Giorgio Beverly Hills";"Femmes";"GIORGIO HOLIDAY";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/122992.jpg";"http://www.parfumreduc.com/product_info.php?products_id=349992";"1229921";"14"
"349991";"7";"123892";"44.48";"1";"0";"GIORGIO HOLIDAY de Giorgio Beverly Hills 123892";"Eau de Toilette Vaporisateur 30 ml";"0";"Giorgio Beverly Hills";"Femmes";"GIORGIO HOLIDAY";"30 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/123892.jpg";"http://www.parfumreduc.com/product_info.php?products_id=349991";"123892";"14"
"3499911";"7";"1238921";"44.48";"1";"0";"GIORGIO HOLIDAY de Giorgio Beverly Hills 1238921";"Eau de Toilette spray 30 ml";"0";"Giorgio Beverly Hills";"Femmes";"GIORGIO HOLIDAY";"30 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/123892.jpg";"http://www.parfumreduc.com/product_info.php?products_id=349991";"1238921";"14"
"349990";"50";"187220";"34.79";"1";"0";"GIORGIO BLUE de Giorgio Beverly Hills 187220";"Eau de Toilette Vaporisateur 50 ml";"0";"Giorgio Beverly Hills";"Femmes";"GIORGIO BLUE";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/187220.jpg";"http://www.parfumreduc.com/product_info.php?products_id=349990";"187220";"14"
"3499901";"50";"1872201";"34.79";"1";"0";"GIORGIO BLUE de Giorgio Beverly Hills 1872201";"Eau de Toilette spray 50 ml";"0";"Giorgio Beverly Hills";"Femmes";"GIORGIO BLUE";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/187220.jpg";"http://www.parfumreduc.com/product_info.php?products_id=349990";"1872201";"14"
